OBJECTID	NUTS_ID	CNTR_CODE	NUTS_NAME	NAME_LATN	NAME_ASCI	NAME_HTML
765	NL335	NL	Groot-Rijnmond	Groot-Rijnmond	Groot-Rijnmond	Groot-Rijnmond
766	NL336	NL	Zuidoost-Zuid-Holland	Zuidoost-Zuid-Holland	Zuidoost-Zuid-Holland	Zuidoost-Zuid-Holland
767	NL34	NL	Zeeland	Zeeland	Zeeland	Zeeland
768	NL341	NL	Zeeuwsch-Vlaanderen	Zeeuwsch-Vlaanderen	Zeeuwsch-Vlaanderen	Zeeuwsch-Vlaanderen
769	NL342	NL	Overig Zeeland	Overig Zeeland	Overig Zeeland	Overig Zeeland
770	NL4	NL	Zuid-Nederland	Zuid-Nederland	Zuid-Nederland	Zuid-Nederland
771	NL41	NL	Noord-Brabant	Noord-Brabant	Noord-Brabant	Noord-Brabant
772	NL411	NL	West-Noord-Brabant	West-Noord-Brabant	West-Noord-Brabant	West-Noord-Brabant
773	NL412	NL	Midden-Noord-Brabant	Midden-Noord-Brabant	Midden-Noord-Brabant	Midden-Noord-Brabant
774	SE331	SE	Västerbottens län	Västerbottens län	Vasterbottens lan	V&#x00E4;sterbottens l&#x00E4;n
775	SE332	SE	Norrbottens län	Norrbottens län	Norrbottens lan	Norrbottens l&#x00E4;n
776	SI	SI	Slovenija	Slovenija	Slovenija	Slovenija
777	SI0	SI	Slovenija	Slovenija	Slovenija	Slovenija
778	SI01	SI	Vzhodna Slovenija	Vzhodna Slovenija	Vzhodna Slovenija	Vzhodna Slovenija
779	SI011	SI	Pomurska	Pomurska	Pomurska	Pomurska
780	SI012	SI	Podravska	Podravska	Podravska	Podravska
781	SI013	SI	Koroška	Koroška	Koroska	Koro&#x0161;ka
782	SI014	SI	Savinjska	Savinjska	Savinjska	Savinjska
783	SI015	SI	Zasavska	Zasavska	Zasavska	Zasavska
784	SI016	SI	Spodnjeposavska	Spodnjeposavska	Spodnjeposavska	Spodnjeposavska
785	SI017	SI	Jugovzhodna Slovenija	Jugovzhodna Slovenija	Jugovzhodna Slovenija	Jugovzhodna Slovenija
786	SI018	SI	Notranjsko-kraška	Notranjsko-kraška	Notranjsko-kraska	Notranjsko-kra&#x0161;ka
787	SI02	SI	Zahodna Slovenija	Zahodna Slovenija	Zahodna Slovenija	Zahodna Slovenija
788	SI021	SI	Osrednjeslovenska	Osrednjeslovenska	Osrednjeslovenska	Osrednjeslovenska
789	SI022	SI	Gorenjska	Gorenjska	Gorenjska	Gorenjska
